Channel 1,Channel 2,Channel 3,Channel 4
9821,35,-41,0
9829,35,-37,0
9839,35,-32,0
9852,35,-28,0
9842,35,-24,0
9826,35,-20,0
9825,35,-15,0
9845,35,-11,0
9862,35,-7,0
9854,35,-3,0
9850,25,0,0
9867,15,3,0
9854,11,7,0
9862,10,9,0
9872,7,12,0
9870,7,14,0
9874,-3,16,0
9859,-6,17,0
9847,-9,18,0
9849,-11,19,0
9874,-13,19,0
9872,-14,18,0
9871,-16,16,0
9870,-18,14,0
9886,-18,12,0
9862,-23,10,0
9873,-26,7,0
9876,-26,5,0
9869,-26,3,0
9875,-31,0,0
9865,-31,-2,0
9875,-33,-4,0
9881,-34,-7,0
9881,-34,-10,0
9883,-35,-13,0
9872,-36,-15,0
9885,-36,-17,0
9880,-36,-19,0
9884,-37,-21,0
9864,-37,-23,0
9846,-37,-25,0
9845,-36,-26,0
9886,-37,-27,0
9885,-38,-28,0
9878,-39,-29,0
9883,-39,-30,0
9873,-39,-31,0
9861,-39,-32,0
9884,-40,-33,0
9892,-40,-34,0
9881,-42,-35,0
9868,-42,-36,0
9860,-42,-36,0
9854,-42,-37,0
9888,-44,-37,0
9877,-44,-38,0
9878,-44,-38,0
9878,-42,-39,0
9871,-42,-39,0
9876,-42,-39,0
9885,-42,-39,0
9898,-42,-40,0
9884,-42,-40,0
9882,-42,-40,0
9860,-42,-40,0
9848,-42,-41,0
9879,-42,-41,0
9891,-42,-41,0
9885,-42,-41,0
9880,-43,-41,0
9899,-43,-41,0
9890,-44,-42,0
9901,-45,-42,0
9896,-45,-42,0
9899,-45,-42,0
9884,-46,-42,0
9881,-46,-43,0
9859,-46,-43,0
9894,-48,-43,0
9904,-48,-43,0
9904,-48,-43,0
9892,-49,-44,0
9910,-49,-44,0
9891,-54,-44,0
9913,-55,-45,0
9906,-55,-45,0
9913,-55,-46,0
9905,-56,-46,0
9887,-56,-47,0
9860,-56,-48,0
9900,-58,-48,0
9911,-60,-49,0
9909,-63,-50,0
9896,-63,-51,0
9918,-63,-51,0
9891,-63,-52,0
9911,-64,-53,0
9906,-64,-54,0
9909,-68,-55,0
9909,-68,-56,0
9889,-68,-56,0
9886,-68,-57,0
9865,-68,-58,0
9900,-68,-59,0
9914,-69,-60,0
9892,-69,-61,0
9892,-69,-61,0
9914,-69,-62,0
9920,-70,-63,0
9920,-70,-64,0
9899,-69,-64,0
